lon: -168, lat: -34, elevation: 0.0
lon: -168, lat: -30, elevation: 0.0
lon: -168, lat: -26, elevation: 0.0
lon: -168, lat: -22, elevation: 0.0
lon: -168, lat: -18, elevation: 0.0
lon: -168, lat: -14, elevation: 0.0
lon: -168, lat: -10, elevation: 0.0
lon: -168, lat: -6, elevation: 0.0
lon: -168, lat: -2, elevation: 0.0
lon: -168, lat: 2, elevation: 0.0
lon: -168, lat: 6, elevation: 0.0
lon: -168, lat: 10, elevation: 0.0
lon: -168, lat: 14, elevation: 0.0
lon: -168, lat: 18, elevation: 0.0
lon: -168, lat: 22, elevation: 0.0
lon: -168, lat: 26, elevation: 0.0
lon: -168, lat: 30, elevation: 0.0
lon: -168, lat: 34, elevation: 0.0
lon: -168, lat: 38, elevation: 0.0
lon: -168, lat: 42, elevation: 0.0
lon: -168, lat: 46, elevation: 0.0
lon: -168, lat: 50, elevation: 0.0
lon: -168, lat: 54, elevation: 0.0
lon: -168, lat: 58, elevation: 0.0
lon: -168, lat: 62, elevation: 0.0
lon: -168, lat: 66, elevation: 0.0
lon: -168, lat: 70, elevation: 0.0
lon: -168, lat: 74, elevation: 0.0
lon: -168, lat: 78, elevation: 0.0
lon: -168, lat: 82, elevation: 0.0
lon: -168, lat: 86, elevation: 0.0
lon: -168, lat: 90, elevation: 0.0
lon: -164, lat: -90, elevation: 0.0
lon: -164, lat: -86, elevation: 0.0
lon: -164, lat: -82, elevation: 0.0
lon: -164, lat: -78, elevation: 0.0
lon: -164, lat: -74, elevation: 0.0
lon: -164, lat: -70, elevation: 0.0
lon: -164, lat: -66, elevation: 0.0
lon: -164, lat: -62, elevation: 0.0
lon: -164, lat: -58, elevation: 0.0
lon: -164, lat: -54, elevation: 0.0
lon: -164, lat: -50, elevation: 0.0
lon: -164, lat: -46, elevation: 0.0
lon: -164, lat: -42, elevation: 0.0
lon: -164, lat: -38, elevation: 0.0
lon: -164, lat: -34, elevation: 0.0
lon: -164, lat: -30, elevation: 0.0
lon: -164, lat: -26, elevation: 0.0
lon: -164, lat: -22, elevation: 0.0
lon: -164, lat: -18, elevation: 0.0
lon: -164, lat: -14, elevation: 0.0
lon: -164, lat: -10, elevation: 0.0
lon: -164, lat: -6, elevation: 0.0
lon: -164, lat: -2, elevation: 0.0
lon: -164, lat: 2, elevation: 0.0
lon: -164, lat: 6, elevation: 0.0
lon: -164, lat: 10, elevation: 0.0
lon: -164, lat: 14, elevation: 0.0
lon: -164, lat: 18, elevation: 0.0
lon: -164, lat: 22, elevation: 0.0
lon: -164, lat: 26, elevation: 0.0
lon: -164, lat: 30, elevation: 0.0
lon: -164, lat: 34, elevation: 0.0
lon: -164, lat: 38, elevation: 0.0
lon: -164, lat: 42, elevation: 0.0
lon: -164, lat: 46, elevation: 0.0
lon: -164, lat: 50, elevation: 0.0
lon: -164, lat: 54, elevation: 0.0
lon: -164, lat: 58, elevation: 0.0
lon: -164, lat: 62, elevation: 0.0
lon: -164, lat: 66, elevation: 0.0
lon: -164, lat: 70, elevation: 0.0
lon: -164, lat: 74, elevation: 0.0
lon: -164, lat: 78, elevation: 0.0
lon: -164, lat: 82, elevation: 0.0
